Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
66,49956;74;30289;0
66,59956;152;30220;0
66,69955;150;30151;0
66,79955;105;30089;0
66,89955;100;30025;0
66,99955;101;29961;0
67,09955;150;29895;0
67,19955;152;29831;0
67,29955;147;29765;0
67,39954;97;29702;0
67,49954;95;29636;0
67,59954;94;29563;0
67,69954;95;29502;0
67,79954;108;29436;0
67,89954;168;29368;0
67,99953;172;29304;0
68,09953;156;29238;0
68,19953;98;29174;0
68,29953;96;29113;0
68,39953;102;29045;0
68,49953;91;28994;0
68,59953;102;28919;0
68,69952;177;28856;0
68,79952;163;28792;0
68,89952;98;28729;0
68,99952;165;28661;0
69,09952;172;28596;0
69,19952;110;28532;0
69,29951;144;28466;0
69,39951;161;28402;0
69,49951;100;28335;0
69,59951;170;28266;0
69,69951;149;28205;0
69,79951;111;28137;0
69,89951;107;28072;0
69,9995;164;28008;0
70,0995;150;27948;0
70,1995;156;27885;0
70,2995;99;27819;0
70,3995;107;27754;0
70,4995;173;27690;0
70,59949;140;27627;0
70,69949;110;27562;0
70,79949;96;27500;0
70,89949;101;27435;0
70,99949;105;27375;0
71,09949;155;27309;0
71,19949;99;27245;0
71,29948;112;27183;0
71,39948;93;27119;0
71,49948;106;27057;0
71,59948;170;26990;0
71,69948;171;26928;0
71,79948;103;26865;0
71,89948;180;26797;0
71,99947;151;26733;0
72,09947;108;26671;0
72,19947;174;26604;0
72,29947;187;26537;0
72,39947;112;26474;0
72,49947;102;26409;0
72,59946;165;26345;0
72,69946;168;26282;0
72,79946;113;26218;0
72,89946;113;26152;0
72,99946;162;26090;0
73,09946;154;26024;0
73,19946;156;25961;0
73,29945;181;25897;0
73,39945;109;25827;0
73,49945;101;25767;0
73,59945;153;25700;0
73,69945;103;25634;0
73,79945;180;25564;0
73,89944;163;25501;0
73,99944;167;25440;0
74,09944;111;25377;0
74,19944;115;25314;0
74,29944;112;25249;0
74,39944;107;25185;0
74,49944;113;25118;0
74,59943;116;25053;0
74,69943;181;24992;0
74,79943;166;24929;0
74,89943;108;24867;0
74,99943;104;24801;0
75,09943;182;24738;0
75,19942;119;24674;0
75,29942;117;24611;0
75,39942;93;24557;0
75,49942;166;24489;0
75,59942;156;24428;0
75,69942;119;24364;0
75,79942;109;24303;0
75,89941;119;24243;0
75,99941;166;24178;0
76,09941;152;24117;0
76,19941;104;24057;0
76,29941;113;23994;0
76,39941;101;23937;0
76,4994;172;23872;0
76,5994;168;23809;0
76,6994;115;23744;0
76,7994;110;23689;0
76,8994;161;23624;0
76,9994;146;23563;0
77,0994;119;23502;0
77,19939;103;23441;0
77,29939;171;23376;0
77,39939;159;23317;0
77,49939;122;23252;0
77,59939;180;23192;0
77,69939;166;23132;0
77,79939;112;23067;0
77,89938;146;23009;0
77,99938;174;22948;0
78,09938;113;22889;0
78,19938;153;22832;0
78,29938;156;22767;0
78,39938;119;22706;0
78,49937;185;22643;0
78,59937;152;22584;0
78,69937;153;22526;0
78,79937;157;22467;0
78,89937;112;22410;0
78,99937;108;22352;0
79,09937;161;22290;0
79,19936;164;22231;0
79,29936;113;22173;0
79,39936;125;22113;0
79,49936;112;22054;0
79,59936;157;21994;0
79,69936;160;21936;0
79,79935;156;21880;0
79,89935;164;21824;0
79,99935;163;21768;0
80,09935;127;21710;0
80,19935;115;21654;0
80,29935;171;21593;0
80,39935;169;21533;0
80,49934;115;21473;0
80,59934;113;21412;0
80,69934;164;21356;0
80,79934;165;21299;0
80,89934;108;21238;0
80,99934;157;21177;0
81,09933;148;21122;0
81,19933;115;21060;0
81,29933;96;21004;0
81,39933;168;20946;0
81,49933;161;20888;0
81,59933;114;20828;0
81,69933;119;20768;0
81,79932;153;20711;0
81,89932;164;20651;0
81,99932;192;20598;0
82,09932;129;20537;0
82,19932;116;20481;0
82,29932;95;20428;0
82,39931;116;20369;0
82,49931;166;20311;0
82,59931;159;20253;0
82,69931;119;20195;0
82,79931;129;20141;0
82,89931;118;20081;0
82,99931;119;20023;0
83,0993;152;19962;0
83,1993;169;19902;0
83,2993;85;19845;0
83,3993;191;19777;0
83,4993;121;19715;0
83,5993;116;19658;0
83,6993;121;19602;0
83,79929;118;19544;0
83,89929;165;19486;0
83,99929;171;19425;0
84,09929;167;19368;0
84,19929;121;19311;0
84,29929;111;19251;0
84,39928;133;19186;0
84,49928;123;19128;0
84,59928;163;19071;0
84,69928;177;19014;0
84,79928;154;18957;0
84,89928;121;18896;0
84,99928;186;18840;0
85,09927;171;18782;0
85,19927;163;18725;0
85,29927;131;18669;0
85,39927;130;18613;0
85,49927;113;18557;0
85,59927;157;18499;0
85,69926;157;18442;0
85,79926;165;18385;0
85,89926;126;18325;0
85,99926;169;18269;0
86,09926;169;18208;0
86,19926;122;18149;0
86,29926;167;18091;0
86,39925;192;18034;0
86,49925;184;17981;0
86,59925;122;17924;0
86,69925;138;17876;0
86,79925;137;17803;0
86,89925;181;17750;0
86,99924;139;17689;0
87,09924;125;17634;0
87,19924;170;17576;0
87,29924;170;17523;0
87,39924;193;17466;0
87,49924;209;17412;0
87,59924;126;17357;0
87,69923;137;17297;0
87,79923;130;17241;0
87,89923;189;17185;0
87,99923;172;17130;0
88,09923;173;17070;0
88,19923;207;17015;0
88,29922;163;16960;0
88,39922;126;16905;0
88,49922;116;16848;0
88,59922;130;16792;0
88,69922;131;16733;0
88,79922;201;16676;0
88,89922;107;16626;0
88,99921;185;16563;0
89,09921;136;16507;0
89,19921;133;16448;0
89,29921;175;16394;0
89,39921;178;16336;0
89,49921;203;16280;0
89,59921;144;16223;0
89,6992;110;16166;0
89,7992;179;16108;0
89,8992;178;16050;0
89,9992;186;15994;0
90,0992;192;15934;0
90,1992;128;15877;0
90,29919;131;15823;0
90,39919;134;15766;0
90,49919;182;15706;0
90,59919;180;15649;0
90,69919;183;15595;0
90,79919;171;15541;0
90,89919;213;15483;0
90,99918;190;15424;0
91,09918;140;15366;0
91,19918;133;15311;0
91,29918;133;15255;0
91,39918;180;15195;0
91,49918;192;15136;0
91,59917;207;15078;0
91,69917;137;15023;0
91,79917;183;14964;0
91,89917;206;14902;0
91,99917;181;14848;0
92,09917;189;14791;0
92,19917;142;14732;0
92,29916;135;14673;0
92,39916;206;14614;0
92,49916;184;14558;0
92,59916;205;14500;0
92,69916;212;14441;0
92,79916;148;14386;0
92,89915;132;14330;0
92,99915;155;14271;0
93,09915;183;14214;0
93,19915;219;14154;0
93,29915;159;14096;0
93,39915;150;14043;0
93,49915;142;13988;0
93,59914;193;13929;0
93,69914;165;13874;0
93,79914;153;13816;0
93,89914;145;13762;0
93,99914;144;13706;0
94,09914;206;13645;0
94,19913;209;13589;0
94,29913;195;13531;0
94,39913;218;13473;0
94,49913;154;13419;0
94,59913;150;13361;0
94,69913;189;13307;0
94,79913;192;13246;0
94,89912;210;13192;0
94,99912;202;13136;0
95,09912;160;13076;0
95,19912;145;13022;0
95,29912;205;12966;0
95,39912;178;12904;0
95,49911;189;12845;0
95,59911;140;12788;0
95,69911;143;12732;0
95,79911;141;12677;0
95,89911;151;12622;0
95,99911;210;12562;0
96,09911;190;12506;0
96,1991;200;12454;0
96,2991;196;12399;0
96,3991;199;12341;0
96,4991;195;12286;0
96,5991;149;12228;0
96,6991;189;12172;0
96,7991;211;12110;0
96,89909;148;12051;0
96,99909;210;11995;0
97,09909;195;11935;0
97,19909;161;11880;0
97,29909;227;11823;0
97,39909;161;11766;0
97,49908;147;11708;0
97,59908;101;11653;0
97,69908;109;11600;0
97,79908;197;11542;0
97,89908;212;11486;0
97,99908;212;11430;0
98,09908;156;11374;0
98,19907;122;11320;0
98,29907;219;11260;0
98,39907;197;11210;0
98,49907;194;11155;0
98,59907;215;11097;0
98,69907;193;11039;0
98,79906;150;10989;0
98,89906;164;10928;0
98,99906;143;10874;0
99,09906;144;10823;0
99,19906;113;10767;0
99,29906;222;10710;0
99,39906;213;10655;0
99,49905;209;10601;0
99,59905;206;10545;0
99,69905;175;10489;0
99,79905;153;10431;0
99,89905;217;10379;0
99,99905;198;10321;0
100,099;228;10265;0
100,199;139;10215;0
100,299;212;10153;0
100,399;171;10097;0
100,499;162;10041;0
100,599;186;9985;0
100,699;216;9928;0
100,799;213;9873;0
100,899;216;9817;0
100,999;166;9762;0
101,099;216;9706;0
101,199;139;9650;0
101,299;192;9595;0
101,399;232;9538;0
101,499;163;9483;0
101,599;152;9427;0
